Region,Country,Location,Start Day,Start Month,Start Year,End Day,End Month,End Year,Protester Violence,Participants,Protester Identity,Protester Demand,State Response 1,State Response 2
Europe,France,Calais,1,3,2016,1,3,2016,1,50-99,migrants,"political behavior, process",crowd dispersal,
Europe,France,Calais,2,3,2016,2,3,2016,1,50-99,migrants,"political behavior, process",crowd dispersal,
Europe,France,"National, Paris",9,3,2016,9,3,2016,0,>10000,students and trade unionists,labor wage dispute,ignore,
Europe,France,National,17,3,2016,17,3,2016,0,>10000,French young people,labor wage dispute,ignore,
Europe,France,"National Paris, Rennes, Brittany, Rouen, Normandy, Nantes, Grenoble in the Alps, Toulouse, Marseille",31,3,2016,31,3,2016,1,>10000,workers,labor wage dispute,crowd dispersal,
Europe,France,"Paris, Rennes",5,4,2016,5,4,2016,1,100-999,unions,labor wage dispute,arrests,crowd dispersal
Europe,France,"National, Marseille",28,4,2016,28,4,2016,1,2000-4999,students and demonstrators,labor wage dispute,crowd dispersal,
Europe,France,"Parliament, Paris",10,5,2016,10,5,2016,0,100-999,Nuit Debout supporters,"political behavior, process",ignore,
Europe,France,"Paris, National",12,5,2016,12,5,2016,0,2000-4999,protesters,"political behavior, process",ignore,
Europe,France,Paris,17,5,2016,17,5,2016,1,100-999,anarchists,"political behavior, process",crowd dispersal,
Europe,France,"Paris, Nantes, Marseille, Lille",17,5,2016,17,5,2016,1,100-999,union,"political behavior, process",crowd dispersal,
Europe,France,Paris,18,5,2016,18,5,2016,0,100-999,officers,"political behavior, process",ignore,
Europe,France,Paris,18,5,2016,18,5,2016,1,50-99,protesters,police brutality,ignore,
Europe,France,Northern and Western France,22,5,2016,24,6,2016,1,100-999,trade unionists,labor wage dispute,crowd dispersal,
Europe,France,Douchy les Mines,25,5,2016,25,5,2016,1,50-99,picketers,"political behavior, process",crowd dispersal,
Europe,France,"Paris, Marseille, National",26,5,2016,26,5,2016,1,>10000,"students, unionists, anarchists","political behavior, process",crowd dispersal,arrests
Europe,France,Donges,27,5,2016,27,5,2016,1,100-999,union members,"political behavior, process",ignore,
Europe,France,Nantes,2,6,2016,2,6,2016,0,50-99,protesters,"political behavior, process",crowd dispersal,
Europe,France,Montreal,6,6,2016,6,6,2016,1,50-99,far left CGT union,"political behavior, process",ignore,
Europe,France,Paris,8,6,2016,8,6,2016,0,2000-4999,"protesters, CGT union","political behavior, process",ignore,
Europe,France,"Paris, National",15,6,2016,15,6,2016,0,>10000,"demonstrators, trade unionists","political behavior, process",crowd dispersal,
Europe,France,Paris,22,6,2016,22,6,2016,0,50-99,trade unionists,"political behavior, process",ignore,
Europe,France,Paris,28,6,2016,28,6,2016,0,>10000,trade unionists,"political behavior, process",crowd dispersal,arrests
Europe,France,Paris,23,7,2016,23,7,2016,0,100-999,Black lives matter,police brutality,ignore,
Europe,France,Paris,1,9,2016,1,9,2016,0,>10000,demonstrators of chines or other Asian origin,"political behavior, process",ignore,
Europe,France,Calais,5,9,2016,5,9,2016,0,100-999,truck drivers,"political behavior, process",ignore,
Europe,France,Forges les Bains,5,9,2016,5,9,2016,0,100-999,locals,"political behavior, process",ignore,
Europe,France,Paris,15,9,2016,15,9,2016,0,100-999,protesters,"political behavior, process",crowd dispersal,
Europe,France,"Versailles, Louveciennes",24,9,2016,24,9,2016,0,1000-1999,protesters,"political behavior, process",ignore,
Europe,France,Warsaw,1,10,2016,1,10,2016,0,2000-4999,pro choice protesters,"political behavior, process",ignore,
Europe,France,Calais,23,10,2016,23,10,2016,1,50-99,migrants,"political behavior, process",ignore,
Europe,France,Croisilles,24,10,2016,24,10,2016,0,100-999,far right protesters,"political behavior, process",ignore,
Europe,France,Pierrefeu du Var,25,10,2016,25,10,2016,0,50-99,anti migrant group,"political behavior, process",ignore,
Europe,France,Pierrefeu du Var,25,10,2016,25,10,2016,0,50-99,pro migrant group,"political behavior, process",ignore,
Europe,France,Calais,26,10,2016,26,10,2016,1,50-99,migrants,"political behavior, process",ignore,
Europe,France,SAINT BAUZILLE DE PUTOIS,27,10,2016,27,10,2016,0,50-99,locals,"political behavior, process",ignore,
Europe,France,Paris,31,10,2016,31,10,2016,0,50-99,demonstrators,"political behavior, process",ignore,
Europe,France,La Tour d Aigues,1,12,2016,1,12,2016,0,100-999,National Front,"political behavior, process",crowd dispersal,
Europe,France,La Tour d Aigues,1,12,2016,1,12,2016,0,100-999,pro refugee protesters,"political behavior, process",crowd dispersal,
Europe,France,"Bobigny, Argenteuil and Ulis in Paris, Nantes, Toulouse, Rouen, Normandy, Lille",5,2,2017,16,2,2017,1,100-999,youths,police brutality,crowd dispersal,arrests
Europe,France,Paris,23,2,2017,23,2,2017,1,100-999,students,police brutality,crowd dispersal,
Europe,France,lyc es in Saint Denis,7,3,2017,7,3,2017,1,50-99,pupils,police brutality,arrests,crowd dispersal
Europe,France,Paris,14,3,2017,14,3,2017,0,50-99,rat catchers,labor wage dispute,ignore,
Europe,France,French Guiana,27,3,2017,27,3,2017,0,50-99,French Guyanese,labor wage dispute,ignore,
Europe,France,Paris,27,3,2017,27,3,2017,1,50-99,Chinese immigrants,police brutality,arrests,
Europe,France,Paris; Rennes; Nantes; Toulouse,27,4,2017,27,4,2017,1,2000-4999,youth,"political behavior, process",ignore,
Europe,France,Paris,28,4,2017,28,4,2017,0,100-999,chinese immigrants,police brutality,ignore,
Europe,France,national,1,5,2017,1,5,2017,1,>10000,labor unions,labor wage dispute,crowd dispersal,
Europe,France,Paris,8,5,2017,8,5,2017,0,2000-4999,labor unions,labor wage dispute,ignore,
Europe,France,Paris,6,6,2017,6,6,2017,0,100-999,CGT union,labor wage dispute,ignore,
Europe,France,Marseilles,26,6,2017,26,6,2017,0,50-99,labor unions,labor wage dispute,ignore,
Europe,France,Paris,26,8,2017,26,8,2017,0,100-999,military,labor wage dispute,ignore,
Europe,France,Paris,30,8,2017,30,8,2017,0,50-99,Les Effront  e s,social restrictions,ignore,
Europe,France,Paris; national,12,9,2017,12,9,2017,1,>10000,workers; CGT union,labor wage dispute,crowd dispersal,
Europe,France,Paris,18,9,2017,18,9,2017,0,50-99,labor unions,labor wage dispute,ignore,
Europe,France,Paris,23,9,2017,23,9,2017,0,2000-4999,labor unions,labor wage dispute,ignore,
Europe,France,Paris,30,10,2017,30,10,2017,0,100-999,Femen; Osez le F minisme,social restrictions,ignore,
Europe,France,Dolus d Ol ron,15,12,2017,15,12,2017,0,100-999,protesters,land farm issue,ignore,
Europe,France,national,12,1,2018,23,1,2018,1,100-999,prison guards,labor wage dispute,crowd dispersal,
Europe,France,Beaucaire,15,1,2018,15,1,2018,0,100-999,residents,social restrictions,ignore,
Europe,France,Notre Dame des Landes,15,1,2018,18,1,2018,0,100-999,environmentalists,land farm issue,accomodation,
Europe,France,national,22,3,2018,22,3,2018,0,>10000,workers; railway workers,labor wage dispute,ignore,
Europe,France,Paris,3,4,2018,4,4,2018,0,50-99,SNCF rail workers,labor wage dispute,ignore,
Europe,France,Paris,8,4,2018,9,4,2018,0,50-99,SNCF rail workers,labor wage dispute,ignore,
Europe,France,Nantes,9,4,2018,15,4,2018,1,100-999,anarchists,"political behavior, process",crowd dispersal,
Europe,France,Paris,13,4,2018,14,4,2018,0,50-99,SNCF rail workers,labor wage dispute,ignore,
Europe,France,Sorbonne University,13,4,2018,13,4,2018,0,50-99,students,"political behavior, process",crowd dispersal,
Europe,France,Nanterre University,16,4,2018,16,4,2018,0,100-999,activists,"political behavior, process",crowd dispersal,
Europe,France,Paris,18,4,2018,19,4,2018,0,50-99,SNCF rail workers,labor wage dispute,ignore,
Europe,France,national,19,4,2018,19,4,2018,1,>10000,students; workers,labor wage dispute,crowd dispersal,
Europe,France,Paris,23,4,2018,24,4,2018,0,50-99,SNCF rail workers,labor wage dispute,ignore,
Europe,France,Paris,28,4,2018,29,4,2018,0,50-99,SNCF rail workers,labor wage dispute,ignore,
Europe,France,Paris,1,5,2018,1,5,2018,1,>10000,workers; anarchists,labor wage dispute,crowd dispersal,arrests
Europe,France,Paris,3,5,2018,4,5,2018,0,50-99,SNCF rail workers,labor wage dispute,ignore,
Europe,France,Paris,5,5,2018,5,5,2018,0,5000-10000,protesters,"political behavior, process",crowd dispersal,
Europe,France,Paris,8,5,2018,9,5,2018,0,50-99,SNCF rail workers,labor wage dispute,ignore,
Europe,France,Paris,13,5,2018,14,5,2018,0,50-99,SNCF rail workers,labor wage dispute,ignore,
Europe,France,Lyons; Marseilles,14,5,2018,14,5,2018,0,1000-1999,students,"political behavior, process",ignore,
Europe,France,Paris,17,5,2018,17,5,2018,0,5000-10000,ONF forest rangers,labor wage dispute,ignore,
Europe,France,Paris,18,5,2018,19,5,2018,0,50-99,SNCF rail workers,labor wage dispute,ignore,
Europe,France,Paris; national,22,5,2018,22,5,2018,0,>10000,workers,labor wage dispute,arrests,
Europe,France,Paris,23,5,2018,24,5,2018,0,50-99,SNCF rail workers,labor wage dispute,ignore,
Europe,France,Paris,11,6,2018,11,6,2018,0,50-99,farmers,land farm issue,ignore,
Europe,France,Paris,14,6,2018,14,6,2018,0,2000-4999,SNCF rail workers,"price increases, tax policy",ignore,
Europe,France,Perpignan,15,7,2018,15,7,2018,0,50-99,Gypsies of Perpignan,land farm issue,accomodation,
Europe,France,Tour de France,24,7,2018,24,7,2018,0,50-99,farmers,land farm issue,crowd dispersal,
Europe,France,Marseille,1,9,2018,1,9,2018,0,50-99,workers,labor wage dispute,ignore,
Europe,France,Marseille,15,11,2018,15,11,2018,0,>10000,Activists,land farm issue,ignore,
Europe,France,national,17,11,2018,18,11,2018,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,national,19,11,2018,19,11,2018,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,La R union,22,11,2018,22,11,2018,1,100-999,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,Paris; national,24,11,2018,26,11,2018,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,Paris; national,1,12,2018,1,12,2018,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,national,3,12,2018,3,12,2018,0,100-999,students,"political behavior, process",ignore,
Europe,France,Paris; national,8,12,2018,8,12,2018,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,national,10,12,2018,10,12,2018,0,100-999,students,"political behavior, process",ignore,
Europe,France,Paris; national,15,12,2018,15,12,2018,0,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,Cr teil; Bordeaux,19,12,2018,19,12,2018,0,100-999,police officers,labor wage dispute,accomodation,
Europe,France,Paris; national,22,12,2018,22,12,2018,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,Paris; national,29,12,2018,29,12,2018,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,Paris; national,5,1,2019,5,1,2019,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,Paris; national,12,1,2019,12,1,2019,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,Paris; national,19,1,2019,20,1,2019,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,Paris; national,26,1,2019,26,1,2019,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,Paris,27,1,2019,27,1,2019,0,>10000,Red Scarves,"political behavior, process",ignore,
Europe,France,Paris; national,2,2,2019,2,2,2019,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,national,5,2,2019,5,2,2019,0,>10000,Yellow Vest; workers,"price increases, tax policy",ignore,
Europe,France,Paris; national,9,2,2019,9,2,2019,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,Paris,15,2,2019,15,2,2019,0,100-999,students,"political behavior, process",ignore,
Europe,France,Paris,19,2,2019,19,2,2019,0,>10000,Activists,"political behavior, process",accomodation,
Europe,France,Paris,16,3,2019,16,3,2019,0,>10000,environmental activists,"political behavior, process",ignore,
Europe,France,Paris; national,16,3,2019,16,3,2019,1,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,France,Paris; national,23,3,2019,23,3,2019,0,>10000,Yellow Vest,"price increases, tax policy",crowd dispersal,arrests
Europe,Georgia,Tbilisi,9,4,2009,13,4,2009,0,,opposition supporters,removal of politician,ignore,
Europe,Georgia,Tbilisi,6,5,2009,6,5,2009,1,,opposition supporters,police brutality,beatings,accomodation
Europe,Georgia,Tbilisi,7,5,2009,7,5,2009,0,,opposition supporters,police brutality,ignore,
Europe,Georgia,Tbilisi,21,5,2011,23,5,2011,1,, Georgian opposition,removal of politician,crowd dispersal,arrests
Europe,Georgia,Tbilisi,25,5,2011,26,5,2011,1,,eorgia s protest movement ,removal of politician,crowd dispersal,beatings
Europe,Georgia,Tbilisi,19,9,2012,21,9,2012,0,,protesters,police brutality,accomodation,
Europe,Georgia,National,4,10,2012,4,10,2012,0,,Georgian Dream coalition,"political behavior, process",ignore,
Europe,Georgia,Tbilisi,20,1,2013,20,1,2013,0,,Protesters,removal of politician,ignore,
Europe,Georgia,Tbilisi,17,5,2013,17,5,2013,0,,Gays,"political behavior, process",ignore,
Europe,Georgia,Sukhumi,27,5,2014,27,5,2014,0,100-999,protesters,removal of politician,ignore,
Europe,Georgia,Abkhazia,28,5,2014,28,5,2014,0,2000-4999,protests,removal of politician,ignore,
Europe,Georgia,Tbilisi,15,11,2014,15,11,2014,0,50-99,protesters,"political behavior, process",ignore,
Europe,Georgia,Tbilisi,6,3,2016,6,3,2016,0,2000-4999,protesters,"political behavior, process",ignore,
Europe,Georgia,Sukhum  Abkhazia,5,7,2016,5,7,2016,1,1000-1999,opposition supporters,"political behavior, process",crowd dispersal,
Europe,Georgia,SUKHUM Abkhazia,15,12,2016,15,12,2016,0,50-99,opposition,removal of politician,ignore,
Europe,Georgia,Sukhum Abkhazia,15,12,2016,15,12,2016,0,1000-1999,opposition supporters,removal of politician,ignore,
Europe,Georgia,Tbilisi,1,11,2017,1,11,2017,0,50-99,Georgian March group,social restrictions,arrests,
Europe,Georgia,Tbilisi,12,5,2018,13,5,2018,0,2000-4999,White Noise,social restrictions,ignore,
Europe,Georgia,Tbilisi,2,6,2018,2,6,2018,1,2000-4999,opposition,removal of politician,accomodation,
Europe,Germany,Passau,4,1,2009,4,1,2009,0,100-999,far right demonstrators,"political behavior, process",crowd dispersal,
Europe,Germany,Berlin,15,3,2009,15,3,2009,0,50-99,women,social restrictions,ignore,
Europe,Germany,nationwide,30,4,2009,1,5,2009,1,>10000,"anarchists, anti capitalists, protesters,  Federation of German Trade unions","political behavior, process",crowd dispersal,arrests
Europe,Germany,Berlin,25,5,2009,25,5,2009,0,5000-10000,dairy farmers,labor wage dispute,ignore,
Europe,Germany,nationwide,28,5,2009,28,5,2009,0,>10000,"teachers, day care and youth workers",labor wage dispute,ignore,
Europe,Germany,Dresden,18,3,2010,18,3,2010,0,100-999,protesters,"political behavior, process",ignore,
Europe,Germany,"Berlin, Hamburg",1,5,2010,1,5,2010,1,2000-4999,"anti facists, anarchists, right wing demonstrators, left wing demonstrators, trade unions, Neo Nazis","political behavior, process",crowd dispersal,arrests
Europe,Germany,Berlin,12,6,2010,12,6,2010,1,2000-4999,protesters,"political behavior, process",crowd dispersal,
Europe,Germany,Stuttgart,25,8,2010,25,8,2010,0,2000-4999,"retirees, middle age professionals, college students",land farm issue,crowd dispersal,
Europe,Germany,Stuttgart,3,9,2010,3,9,2010,0,2000-4999,"retirees, middle age professionals, college students",land farm issue,crowd dispersal,
Europe,Germany,Berlin,18,9,2010,18,9,2010,0,>10000,anti nuclear demonstrators,"political behavior, process",ignore,
Europe,Germany,Stuttgart,1,10,2010,1,10,2010,0,>10000,protesters,police brutality,ignore,
Europe,Germany,Stuttgart,1,10,2010,1,10,2010,0,>10000,"retirees, middle age professionals, college students",land farm issue,crowd dispersal,
Europe,Germany,Stuttgart,5,10,2010,5,10,2010,0,2000-4999,"retirees, middle age professionals, college students",land farm issue,accomodation,
Europe,Germany,Berlin,29,10,2010,29,10,2010,0,100-999,Hochtief employees,"political behavior, process",ignore,
Europe,Germany,Dannenberg,6,11,2010,8,11,2010,1,>10000,anti nuclear activists,land farm issue,crowd dispersal,arrests
Europe,Germany,Stuttgart,7,11,2010,7,11,2010,0,2000-4999,"retirees, middle age professionals, college students",land farm issue,ignore,
Europe,Germany,Berlin,26,2,2011,26,2,2011,0,100-999,protesters,removal of politician,accomodation,
Europe,Germany,Stuttgart,12,3,2011,12,3,2011,0,>10000,anti nuclear demonstrators,"political behavior, process",ignore,
Europe,Germany,nationwide,14,3,2011,14,3,2011,0,>10000,anti nuclear demonstrators,"political behavior, process",ignore,
Europe,Germany,four largest cities,26,3,2011,26,3,2011,0,>10000,anti nuclear demonstrators,"political behavior, process",ignore,
Europe,Germany,Berlin,12,4,2011,12,4,2011,0,100-999,protesters,"political behavior, process",ignore,
Europe,Germany,nationwide,25,4,2011,25,4,2011,0,>10000,anti nuclear demonstrators,"political behavior, process",ignore,
Europe,Germany,Frankfurt,15,10,2011,15,10,2011,0,2000-4999,protesters,"political behavior, process",ignore,
Europe,Germany,Frankfurt,15,10,2011,6,8,2012,0,100-999,"activists, anti capitalists, leftists","political behavior, process",ignore,crowd dispersal
Europe,Germany,nationwide,11,2,2012,11,2,2012,0,>10000,Germans,"political behavior, process",ignore,
Europe,Germany,nationwide,1,5,2012,1,5,2012,0,>10000,German Federation of Trade Unions,"political behavior, process",ignore,
Europe,Germany,Solingen,1,5,2012,1,5,2012,1,50-99,Muslims,police brutality,crowd dispersal,arrests
Europe,Germany,Bonn,6,5,2012,6,5,2012,1,100-999,Muslims,police brutality,crowd dispersal,arrests
Europe,Germany,Frankfurt,16,5,2012,19,5,2012,0,>10000,Blockupy supporters,"political behavior, process",ignore,
Europe,Germany,Berlin,1,3,2013,3,3,2013,0,,protesters,"political behavior, process",ignore,crowd dispersal
Europe,Germany,Munich,6,5,2013,6,5,2013,0,50-99,anti racists demonstrators,"political behavior, process",ignore,
Europe,Germany,Frankfurt,31,5,2013,31,5,2013,0,1000-1999,Blockupy,"political behavior, process",crowd dispersal,
Europe,Germany,Berlin,20,8,2013,20,8,2013,0,50-99,far right extremists,"political behavior, process",arrests,
Europe,Germany,nationwide,15,11,2013,15,11,2013,0,2000-4999,EADS workers,labor wage dispute,ignore,
Europe,Germany,Hamburg,9,1,2014,9,1,2014,1,100-999,Black Bloc,police brutality,crowd dispersal,
Europe,Germany,Dortmund,18,6,2014,18,6,2014,0,100-999,anti Nazi protesters,removal of politician,crowd dispersal,
Europe,Germany,Bonn,20,9,2014,20,9,2014,0,100-999,Rhine Valley residents,"political behavior, process",ignore,
Europe,Germany,Dresden,20,10,2014,20,10,2014,0,100-999,Patriotic Europeans Against the Islamization of the West,"political behavior, process",ignore,
Europe,Germany,Dresden,27,10,2014,27,10,2014,0,100-999,Patriotic Europeans Against the Islamization of the West,"political behavior, process",ignore,
Europe,Germany,"Hamburg, Stuttgart, Hanover, Bremen",1,11,2014,1,11,2014,0,>10000,Kurds,"political behavior, process",ignore,
Europe,Germany,Dresden,3,11,2014,3,11,2014,0,100-999,Patriotic Europeans Against the Islamization of the West,"political behavior, process",ignore,
Europe,Germany,Dresden,10,11,2014,10,11,2014,0,100-999,Patriotic Europeans Against the Islamization of the West,"political behavior, process",ignore,
Europe,Germany,Dresden,17,11,2014,17,11,2014,0,100-999,Patriotic Europeans Against the Islamization of the West,"political behavior, process",ignore,
Europe,Germany,Dresden,24,11,2014,24,11,2014,0,100-999,Patriotic Europeans Against the Islamization of the West,"political behavior, process",ignore,
Europe,Germany,Dresden,1,12,2014,1,12,2014,0,100-999,Patriotic Europeans Against the Islamization of the West,"political behavior, process",ignore,
Europe,Germany,Dresden,8,12,2014,8,12,2014,0,>10000,Patriotic Europeans Against the Islamization of the West,"political behavior, process",crowd dispersal,
Europe,Germany,Dresden,15,12,2014,15,12,2014,0,>10000,Patriotic Europeans Against the Islamization of the West,"political behavior, process",crowd dispersal,
Europe,Germany,Dresden,22,12,2014,22,12,2014,0,>10000,Patriotic Europeans Against the Islamization of the West,"political behavior, process",ignore,
Europe,Germany,Fulda,22,12,2014,22,12,2014,0,100-999,families,land farm issue,ignore,
Europe,Germany,Dresden,5,1,2015,5,1,2015,0,>10000,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,"Dresden, Leipzig",12,1,2015,12,1,2015,0,>10000,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Leipzig,22,1,2015,22,1,2015,0,5000-10000,protesters,"political behavior, process",ignore,
Europe,Germany,Dresden,25,1,2015,25,1,2015,0,>10000,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",crowd dispersal,
Europe,Germany,"Dresden, Frankfurt",26,1,2015,26,1,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,2,2,2015,2,2,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,9,2,2015,9,2,2015,1,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Berlin,15,2,2015,15,2,2015,0,50-99,,"political behavior, process",ignore,
Europe,Germany,Dresden,16,2,2015,16,2,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Frankfurt,18,2,2015,18,3,2015,1,2000-4999,protesters,"political behavior, process",crowd dispersal,
Europe,Germany,"Dresden, Frankfurt",23,2,2015,23,2,2015,1,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",crowd dispersal,
Europe,Germany,Dresden,2,3,2015,2,3,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Tr  glitz,8,3,2015,8,3,2015,0,50-99,neo nazis,"political behavior, process",crowd dispersal,
Europe,Germany,Dresden,9,3,2015,9,3,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,16,3,2015,16,3,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,23,3,2015,23,3,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,30,3,2015,30,3,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,6,4,2015,6,4,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,13,4,2015,13,4,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,20,4,2015,20,4,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,27,4,2015,27,4,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,4,5,2015,4,5,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,11,5,2015,11,5,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,18,5,2015,18,5,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,25,5,2015,25,5,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,1,6,2015,1,6,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,8,6,2015,8,6,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,15,6,2015,15,6,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,22,6,2015,22,6,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,29,6,2015,29,6,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,6,7,2015,6,7,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,13,7,2015,13,7,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Berlin,17,7,2015,17,7,2015,0,50-99,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,20,7,2015,20,7,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,27,7,2015,27,7,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,29,7,2015,29,7,2015,0,50-99,protesters,"political behavior, process",ignore,
Europe,Germany,Berlin,1,8,2015,1,8,2015,0,1000-1999,protesters,"political behavior, process",ignore,
Europe,Germany,Dresden,3,8,2015,3,8,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,5,8,2015,5,8,2015,0,50-99,Initiative Heimatschutz  right wing organization ,"political behavior, process",ignore,
Europe,Germany,Dresden,10,8,2015,10,8,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,17,8,2015,17,8,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,24,8,2015,24,8,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,31,8,2015,31,8,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,7,9,2015,7,9,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,14,9,2015,14,9,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,21,9,2015,21,9,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,28,9,2015,28,9,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,5,10,2015,5,10,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Berlin,10,10,2015,10,10,2015,0,>10000,protesters,"political behavior, process",ignore,
Europe,Germany,Dresden,12,10,2015,12,10,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Dresden,19,10,2015,19,10,2015,1,>10000,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",crowd dispersal,
Europe,Germany,Dresden,26,10,2015,26,10,2015,0,2000-4999,Pegida  Patriotic Europeans against the Islamization of the West ,"political behavior, process",ignore,
Europe,Germany,Berlin,30,10,2015,30,10,2015,0,50-99,protesters,"political behavior, process",ignore,
